customer_id,gender,age,city,customer_segment
C00001,Male,31,Riyadh,New
C00002,Female,38,Dammam,Regular
C00003,Female,46,Khobar,Regular
C00004,Female,29,Jeddah,Regular
C00005,Male,47,Madinah,Regular
C00006,Male,24,Jeddah,Occasional
C00007,Male,53,Riyadh,New
C00008,Female,50,Madinah,New
C00009,Female,25,Madinah,New
C00010,Female,27,Riyadh,Regular
C00011,Male,28,Riyadh,New
C00012,Female,43,Riyadh,Regular
C00013,Female,40,Riyadh,New
C00014,Male,38,Tabuk,Regular
C00015,Male,25,Dammam,Regular
C00016,Male,32,Jeddah,New
C00017,Male,23,Madinah,New
C00018,Male,26,Jeddah,Occasional
C00019,Male,42,Jeddah,Occasional
C00020,Male,50,Abha,Regular
C00021,Female,42,Madinah,Occasional
C00022,Male,30,Madinah,Occasional
C00023,Male,59,Jeddah,Premium
C00024,Male,39,Makkah,Regular
C00025,Male,68,Riyadh,Regular
C00026,Female,44,Dammam,Occasional
C00027,Male,34,Tabuk,Regular
C00028,Male,20,Riyadh,Regular
C00029,Female,42,Makkah,Regular
C00030,Male,24,Jeddah,Occasional
C00031,Female,32,Riyadh,Occasional
C00032,Male,42,Makkah,Occasional
C00033,Male,41,Riyadh,Regular
C00034,Female,36,Dammam,Regular
C00035,Female,33,Riyadh,Regular
C00036,Female,31,Abha,New
C00037,Male,40,Riyadh,Regular
C00038,Male,70,Riyadh,Regular
C00039,Female,43,Riyadh,Occasional
C00040,Male,67,Abha,Regular
C00041,Male,45,Khobar,Occasional
C00042,Male,36,Makkah,Regular
C00043,Male,25,Jeddah,Occasional
C00044,Female,44,Jeddah,Premium
C00045,Male,37,Riyadh,Regular
C00046,Female,39,Dammam,Regular
C00047,Male,35,Riyadh,Occasional
C00048,Male,38,Tabuk,New
C00049,Male,32,Makkah,Regular
C00050,Male,40,Jeddah,Occasional
C00051,Female,25,Riyadh,Occasional
C00052,Female,45,Makkah,New
C00053,Female,27,Riyadh,Occasional
C00054,Female,23,Riyadh,Premium
C00055,Female,34,Riyadh,Occasional
C00056,Female,42,Dammam,Regular
C00057,Male,32,Makkah,Premium
C00058,Male,27,Jeddah,Regular
C00059,Male,41,Riyadh,New
C00060,Male,27,Jeddah,New
C00061,Male,58,Makkah,Occasional
C00062,Male,63,Riyadh,New
C00063,Female,38,Riyadh,Occasional
C00064,Male,27,Abha,Premium
C00065,Male,49,Abha,Regular
C00066,Male,24,Tabuk,Premium
C00067,Male,39,Makkah,Premium
C00068,Female,28,Riyadh,Regular
C00069,Male,62,Riyadh,Regular
C00070,Female,21,Jeddah,Occasional
C00071,Female,36,Jeddah,New
C00072,Male,54,Abha,Occasional
C00073,Male,40,Makkah,New
C00074,Female,19,Makkah,Regular
C00075,Female,57,Riyadh,New
C00076,Female,35,Abha,Regular
C00077,Female,39,Madinah,Regular
C00078,Male,33,Riyadh,New
C00079,Male,36,Madinah,Regular
C00080,Male,31,Riyadh,Regular
C00081,Female,22,Riyadh,Regular
C00082,Female,19,Khobar,Occasional
C00083,Male,52,Khobar,New
C00084,Male,30,Riyadh,Premium
C00085,Male,28,Jeddah,New
C00086,Male,38,Tabuk,Premium
C00087,Female,46,Khobar,Regular
C00088,Female,20,Makkah,Regular
C00089,Female,41,Riyadh,Occasional
C00090,Male,20,Riyadh,Premium
C00091,Male,22,Riyadh,Occasional
C00092,Female,22,Riyadh,Regular
C00093,Female,54,Riyadh,Regular
C00094,Female,23,Riyadh,Occasional
C00095,Female,23,Dammam,Regular
C00096,Male,28,Jeddah,Regular
C00097,Male,50,Madinah,Regular
C00098,Male,27,Riyadh,Occasional
C00099,Male,31,Jeddah,Occasional
C00100,Male,24,Riyadh,Premium
C00101,Male,28,Jeddah,Regular
C00102,Female,36,Riyadh,Regular
C00103,Male,41,Tabuk,Regular
C00104,Male,27,Makkah,New
C00105,Female,25,Jeddah,Occasional
C00106,Male,19,Riyadh,Occasional
C00107,Male,34,Dammam,Regular
C00108,Female,18,Makkah,Occasional
C00109,Male,52,Riyadh,Occasional
C00110,Male,69,Dammam,Occasional
C00111,Male,69,Makkah,Occasional
C00112,Male,50,Makkah,Occasional
C00113,Female,40,Makkah,Occasional
C00114,Female,35,Madinah,Regular
C00115,Female,26,Abha,Occasional
C00116,Female,38,Jeddah,Regular
C00117,Female,37,Dammam,Occasional
C00118,Male,35,Makkah,Occasional
C00119,Female,52,Khobar,Occasional
C00120,Male,31,Tabuk,Regular
C00121,Female,28,Riyadh,Regular
C00122,Female,70,Jeddah,Premium
C00123,Male,21,Riyadh,Occasional
C00124,Male,43,Riyadh,New
C00125,Male,65,Riyadh,Occasional
C00126,Male,38,Khobar,Regular
C00127,Female,35,Riyadh,New
C00128,Female,34,Makkah,New
C00129,Male,25,Khobar,Regular
C00130,Male,45,Riyadh,Occasional
C00131,Male,35,Riyadh,Occasional
C00132,Male,38,Dammam,Occasional
C00133,Male,18,Makkah,New
C00134,Male,19,Madinah,Regular
C00135,Female,58,Madinah,Occasional
C00136,Male,31,Tabuk,Occasional
C00137,Male,36,Dammam,New
C00138,Female,22,Abha,New
C00139,Male,41,Makkah,New
C00140,Female,63,Madinah,Regular
C00141,Female,40,Riyadh,Occasional
C00142,Male,21,Tabuk,Regular
C00143,Male,40,Jeddah,Regular
C00144,Male,48,Makkah,Regular
C00145,Male,31,Riyadh,Occasional
C00146,Male,53,Jeddah,New
C00147,Female,37,Riyadh,Regular
C00148,Male,47,Riyadh,Premium
C00149,Male,36,Riyadh,Occasional
C00150,Male,18,Makkah,Occasional
C00151,Female,25,Riyadh,New
C00152,Male,27,Jeddah,Regular
C00153,Male,68,Riyadh,Premium
C00154,Male,51,Dammam,Regular
C00155,Female,43,Riyadh,Premium
C00156,Male,26,Riyadh,Regular
C00157,Female,31,Jeddah,Regular
C00158,Female,45,Khobar,Regular
C00159,Male,36,Riyadh,Regular
C00160,Female,30,Riyadh,New
C00161,Male,39,Riyadh,Regular
C00162,Female,21,Tabuk,Regular
C00163,Female,26,Jeddah,New
C00164,Male,35,Dammam,Occasional
C00165,Male,24,Riyadh,Occasional
C00166,Female,60,Jeddah,Occasional
C00167,Male,32,Riyadh,Occasional
C00168,Male,20,Riyadh,New
C00169,Male,32,Jeddah,Occasional
C00170,Female,46,Jeddah,New
C00171,Female,32,Riyadh,Regular
C00172,Male,40,Khobar,Regular
C00173,Male,18,Tabuk,New
C00174,Male,21,Jeddah,Regular
C00175,Female,31,Dammam,New
C00176,Male,46,Tabuk,Premium
C00177,Female,52,Madinah,Regular
C00178,Male,18,Jeddah,New
C00179,Female,41,Makkah,Regular
C00180,Male,58,Riyadh,New
C00181,Male,33,Jeddah,New
C00182,Male,48,Riyadh,New
C00183,Female,21,Riyadh,Occasional
C00184,Female,58,Jeddah,Occasional
C00185,Male,53,Riyadh,New
C00186,Female,68,Khobar,Occasional
C00187,Female,42,Jeddah,Occasional
C00188,Female,28,Dammam,New
C00189,Male,68,Riyadh,Occasional
C00190,Male,32,Riyadh,New
C00191,Male,32,Dammam,Premium
C00192,Female,41,Tabuk,Regular
C00193,Female,54,Riyadh,Regular
C00194,Female,67,Riyadh,Regular
C00195,Male,30,Madinah,Occasional
C00196,Male,52,Riyadh,Regular
C00197,Female,51,Madinah,New
C00198,Female,22,Dammam,Regular
C00199,Female,28,Jeddah,Regular
C00200,Female,26,Jeddah,Regular
C00201,Female,32,Riyadh,Occasional
C00202,Male,63,Jeddah,Premium
C00203,Male,38,Madinah,Regular
C00204,Female,38,Makkah,Occasional
C00205,Female,59,Khobar,Regular
C00206,Male,26,Makkah,Regular
C00207,Male,51,Riyadh,Occasional
C00208,Female,29,Dammam,Premium
C00209,Male,50,Jeddah,Regular
C00210,Male,28,Makkah,Premium
C00211,Male,62,Jeddah,Regular
C00212,Female,32,Khobar,Occasional
C00213,Female,29,Madinah,Premium
C00214,Male,50,Jeddah,New
C00215,Female,27,Riyadh,New
C00216,Male,35,Jeddah,Regular
C00217,Male,33,Jeddah,New
C00218,Female,53,Khobar,Regular
C00219,Female,27,Abha,Premium
C00220,Female,21,Jeddah,Premium
C00221,Female,31,Jeddah,Regular
C00222,Female,36,Khobar,Occasional
C00223,Male,27,Riyadh,Regular
C00224,Male,30,Riyadh,Occasional
C00225,Male,32,Abha,Occasional
C00226,Male,24,Khobar,Regular
C00227,Female,35,Riyadh,Occasional
C00228,Male,48,Riyadh,New
C00229,Female,25,Khobar,Premium
