date,year,quarter,month,month_name,week,day_of_week,day,is_weekend,month_year,year_month,quarter_number
2024-01-01,2024,Q1,1,January,1,Monday,1,False,2024-01,202401,1
2024-01-02,2024,Q1,1,January,1,Tuesday,2,False,2024-01,202401,1
2024-01-03,2024,Q1,1,January,1,Wednesday,3,False,2024-01,202401,1
2024-01-04,2024,Q1,1,January,1,Thursday,4,False,2024-01,202401,1
2024-01-05,2024,Q1,1,January,1,Friday,5,True,2024-01,202401,1
2024-01-06,2024,Q1,1,January,1,Saturday,6,True,2024-01,202401,1
2024-01-07,2024,Q1,1,January,1,Sunday,7,True,2024-01,202401,1
2024-01-08,2024,Q1,1,January,2,Monday,8,False,2024-01,202401,1
2024-01-09,2024,Q1,1,January,2,Tuesday,9,False,2024-01,202401,1
2024-01-10,2024,Q1,1,January,2,Wednesday,10,False,2024-01,202401,1
2024-01-11,2024,Q1,1,January,2,Thursday,11,False,2024-01,202401,1
2024-01-12,2024,Q1,1,January,2,Friday,12,True,2024-01,202401,1
2024-01-13,2024,Q1,1,January,2,Saturday,13,True,2024-01,202401,1
2024-01-14,2024,Q1,1,January,2,Sunday,14,True,2024-01,202401,1
2024-01-15,2024,Q1,1,January,3,Monday,15,False,2024-01,202401,1
2024-01-16,2024,Q1,1,January,3,Tuesday,16,False,2024-01,202401,1
2024-01-17,2024,Q1,1,January,3,Wednesday,17,False,2024-01,202401,1
2024-01-18,2024,Q1,1,January,3,Thursday,18,False,2024-01,202401,1
2024-01-19,2024,Q1,1,January,3,Friday,19,True,2024-01,202401,1
2024-01-20,2024,Q1,1,January,3,Saturday,20,True,2024-01,202401,1
2024-01-21,2024,Q1,1,January,3,Sunday,21,True,2024-01,202401,1
2024-01-22,2024,Q1,1,January,4,Monday,22,False,2024-01,202401,1
2024-01-23,2024,Q1,1,January,4,Tuesday,23,False,2024-01,202401,1
2024-01-24,2024,Q1,1,January,4,Wednesday,24,False,2024-01,202401,1
2024-01-25,2024,Q1,1,January,4,Thursday,25,False,2024-01,202401,1
2024-01-26,2024,Q1,1,January,4,Friday,26,True,2024-01,202401,1
2024-01-27,2024,Q1,1,January,4,Saturday,27,True,2024-01,202401,1
2024-01-28,2024,Q1,1,January,4,Sunday,28,True,2024-01,202401,1
2024-01-29,2024,Q1,1,January,5,Monday,29,False,2024-01,202401,1
2024-01-30,2024,Q1,1,January,5,Tuesday,30,False,2024-01,202401,1
2024-01-31,2024,Q1,1,January,5,Wednesday,31,False,2024-01,202401,1
2024-02-01,2024,Q1,2,February,5,Thursday,1,False,2024-02,202402,1
2024-02-02,2024,Q1,2,February,5,Friday,2,True,2024-02,202402,1
2024-02-03,2024,Q1,2,February,5,Saturday,3,True,2024-02,202402,1
2024-02-04,2024,Q1,2,February,5,Sunday,4,True,2024-02,202402,1
2024-02-05,2024,Q1,2,February,6,Monday,5,False,2024-02,202402,1
2024-02-06,2024,Q1,2,February,6,Tuesday,6,False,2024-02,202402,1
2024-02-07,2024,Q1,2,February,6,Wednesday,7,False,2024-02,202402,1
2024-02-08,2024,Q1,2,February,6,Thursday,8,False,2024-02,202402,1
2024-02-09,2024,Q1,2,February,6,Friday,9,True,2024-02,202402,1
2024-02-10,2024,Q1,2,February,6,Saturday,10,True,2024-02,202402,1
2024-02-11,2024,Q1,2,February,6,Sunday,11,True,2024-02,202402,1
2024-02-12,2024,Q1,2,February,7,Monday,12,False,2024-02,202402,1
2024-02-13,2024,Q1,2,February,7,Tuesday,13,False,2024-02,202402,1
2024-02-14,2024,Q1,2,February,7,Wednesday,14,False,2024-02,202402,1
2024-02-15,2024,Q1,2,February,7,Thursday,15,False,2024-02,202402,1
2024-02-16,2024,Q1,2,February,7,Friday,16,True,2024-02,202402,1
2024-02-17,2024,Q1,2,February,7,Saturday,17,True,2024-02,202402,1
2024-02-18,2024,Q1,2,February,7,Sunday,18,True,2024-02,202402,1
2024-02-19,2024,Q1,2,February,8,Monday,19,False,2024-02,202402,1
2024-02-20,2024,Q1,2,February,8,Tuesday,20,False,2024-02,202402,1
2024-02-21,2024,Q1,2,February,8,Wednesday,21,False,2024-02,202402,1
2024-02-22,2024,Q1,2,February,8,Thursday,22,False,2024-02,202402,1
2024-02-23,2024,Q1,2,February,8,Friday,23,True,2024-02,202402,1
2024-02-24,2024,Q1,2,February,8,Saturday,24,True,2024-02,202402,1
2024-02-25,2024,Q1,2,February,8,Sunday,25,True,2024-02,202402,1
2024-02-26,2024,Q1,2,February,9,Monday,26,False,2024-02,202402,1
2024-02-27,2024,Q1,2,February,9,Tuesday,27,False,2024-02,202402,1
2024-02-28,2024,Q1,2,February,9,Wednesday,28,False,2024-02,202402,1
2024-02-29,2024,Q1,2,February,9,Thursday,29,False,2024-02,202402,1
2024-03-01,2024,Q1,3,March,9,Friday,1,True,2024-03,202403,1
2024-03-02,2024,Q1,3,March,9,Saturday,2,True,2024-03,202403,1
2024-03-03,2024,Q1,3,March,9,Sunday,3,True,2024-03,202403,1
2024-03-04,2024,Q1,3,March,10,Monday,4,False,2024-03,202403,1
2024-03-05,2024,Q1,3,March,10,Tuesday,5,False,2024-03,202403,1
2024-03-06,2024,Q1,3,March,10,Wednesday,6,False,2024-03,202403,1
2024-03-07,2024,Q1,3,March,10,Thursday,7,False,2024-03,202403,1
2024-03-08,2024,Q1,3,March,10,Friday,8,True,2024-03,202403,1
2024-03-09,2024,Q1,3,March,10,Saturday,9,True,2024-03,202403,1
2024-03-10,2024,Q1,3,March,10,Sunday,10,True,2024-03,202403,1
2024-03-11,2024,Q1,3,March,11,Monday,11,False,2024-03,202403,1
2024-03-12,2024,Q1,3,March,11,Tuesday,12,False,2024-03,202403,1
2024-03-13,2024,Q1,3,March,11,Wednesday,13,False,2024-03,202403,1
2024-03-14,2024,Q1,3,March,11,Thursday,14,False,2024-03,202403,1
2024-03-15,2024,Q1,3,March,11,Friday,15,True,2024-03,202403,1
2024-03-16,2024,Q1,3,March,11,Saturday,16,True,2024-03,202403,1
2024-03-17,2024,Q1,3,March,11,Sunday,17,True,2024-03,202403,1
2024-03-18,2024,Q1,3,March,12,Monday,18,False,2024-03,202403,1
2024-03-19,2024,Q1,3,March,12,Tuesday,19,False,2024-03,202403,1
2024-03-20,2024,Q1,3,March,12,Wednesday,20,False,2024-03,202403,1
2024-03-21,2024,Q1,3,March,12,Thursday,21,False,2024-03,202403,1
2024-03-22,2024,Q1,3,March,12,Friday,22,True,2024-03,202403,1
