product_id,product_name,category,subcategory,brand,unit_cost,selling_price
P0001,Northern Star Baby Care Item 001,Baby Care,Baby Care,Northern Star,81.18,102.3
P0002,Rimal Beauty Item 002,Beauty,Beauty,Rimal,93.02,129.53
P0003,Nakhla Personal Care Item 003,Personal Care,Personal Care,Nakhla,47.67,61.94
P0004,Rimal Electronics Item 004,Electronics,Electronics,Rimal,790.37,1009.61
P0005,Arabian Select Baby Care Item 005,Baby Care,Baby Care,Arabian Select,14.9,20.29
P0006,Gulf Fresh Food & Beverages Item 006,Food & Beverages,Food & Beverages,Gulf Fresh,69.63,84.06
P0007,Sahara Home Fresh Food Item 007,Fresh Food,Fresh Food,Sahara Home,59.13,80.61
P0008,Arabian Select Electronics Item 008,Electronics,Electronics,Arabian Select,362.12,460.72
P0009,Golden Basket Fresh Food Item 009,Fresh Food,Fresh Food,Golden Basket,73.35,100.44
P0010,Golden Basket Baby Care Item 010,Baby Care,Baby Care,Golden Basket,91.71,131.12
P0011,Rimal Health & Wellness Item 011,Health & Wellness,Health & Wellness,Rimal,175.95,242.05
P0012,Palm Valley Household Item 012,Household,Household,Palm Valley,135.6,183.2
P0013,Desert Harvest Fresh Food Item 013,Fresh Food,Fresh Food,Desert Harvest,43.91,56.74
P0014,Palm Valley Fresh Food Item 014,Fresh Food,Fresh Food,Palm Valley,29.85,40.85
P0015,Northern Star Food & Beverages Item 015,Food & Beverages,Food & Beverages,Northern Star,48.2,62.45
P0016,Eastern Choice Food & Beverages Item 016,Food & Beverages,Food & Beverages,Eastern Choice,73.16,95.49
P0017,Al Waha Household Item 017,Household,Household,Al Waha,35.55,47.33
P0018,Palm Valley Electronics Item 018,Electronics,Electronics,Palm Valley,505.91,574.45
P0019,Al Waha Fresh Food Item 019,Fresh Food,Fresh Food,Al Waha,64.26,84.12
P0020,Al Waha Food & Beverages Item 020,Food & Beverages,Food & Beverages,Al Waha,59.18,79.71
P0021,Sahara Home Health & Wellness Item 021,Health & Wellness,Health & Wellness,Sahara Home,35.0,55.34
P0022,Gulf Fresh Household Item 022,Household,Household,Gulf Fresh,108.79,131.49
P0023,Sahara Home Fresh Food Item 023,Fresh Food,Fresh Food,Sahara Home,91.18,112.42
P0024,Al Waha Electronics Item 024,Electronics,Electronics,Al Waha,160.15,180.38
P0025,Arabian Select Electronics Item 025,Electronics,Electronics,Arabian Select,205.28,255.61
P0026,Golden Basket Household Item 026,Household,Household,Golden Basket,145.85,198.87
P0027,Al Waha Household Item 027,Household,Household,Al Waha,31.24,38.82
P0028,Sahara Home Personal Care Item 028,Personal Care,Personal Care,Sahara Home,103.25,142.12
P0029,Arabian Select Food & Beverages Item 029,Food & Beverages,Food & Beverages,Arabian Select,40.4,53.25
P0030,Sahara Home Fresh Food Item 030,Fresh Food,Fresh Food,Sahara Home,26.98,36.33
P0031,Palm Valley Electronics Item 031,Electronics,Electronics,Palm Valley,699.18,844.92
P0032,Nakhla Fresh Food Item 032,Fresh Food,Fresh Food,Nakhla,46.19,60.88
P0033,Rimal Fresh Food Item 033,Fresh Food,Fresh Food,Rimal,52.94,68.91
P0034,Desert Harvest Beauty Item 034,Beauty,Beauty,Desert Harvest,96.22,139.92
P0035,Eastern Choice Electronics Item 035,Electronics,Electronics,Eastern Choice,482.5,585.27
P0036,Sahara Home Fresh Food Item 036,Fresh Food,Fresh Food,Sahara Home,18.86,25.23
P0037,Desert Harvest Electronics Item 037,Electronics,Electronics,Desert Harvest,325.04,414.32
P0038,Oasis Choice Personal Care Item 038,Personal Care,Personal Care,Oasis Choice,116.48,164.13
P0039,Sahara Home Household Item 039,Household,Household,Sahara Home,42.43,57.37
